,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0nSzAzzqVUY1W-D-IVvu_A,categories:coffeeroasteries,categories:coffeeroasteries,categories:icecream,categories:coffeeroasteries,categories:coffeeroasteries,region:Northwest,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,region:Southwest,region:Northwest,categories:coffeeroasteries,region:Southwest,categories:coffeeroasteries,categories:icecream,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries
11R2R4nyRpF6nqlXH-JeGQ,categories:sandwiches,categories:bakeries,categories:bakeries,price:price$$$$,region:Southeast,region:Northeast,categories:bakeries,region:Northeast,price:price$$$$,region:Northeast,categories:bakeries,price:price$$$$,region:Northeast,region:Northeast,categories:bakeries,categories:sandwiches,price:price$$$$,region:Southeast,region:Northeast,categories:sandwiches
1Q2GYf4LGZiJ-r3kvKvGWg,region:Southeast,region:Southeast,price:price$$$,region:Southeast,region:Southeast,categories:juicebars,price:price$$$,region:Southeast,price:price$$$,categories:juicebars,region:Southeast,categories:juicebars,region:Southeast,region:Southeast,categories:bars,region:Southeast,region:Southeast,price:price$$$,region:Southeast,categories:juicebars
1Sxapu-7u6YpmmhVPsLuKQ,region:Central,categories:themedcafes,region:Northeast,region:Northeast,categories:sandwiches,categories:sandwiches,region:Central,region:Northeast,region:Central,region:Central,region:Northeast,region:Northeast,categories:sandwiches,categories:sandwiches,region:Central,region:Northeast,categories:themedcafes,region:Central,categories:themedcafes,region:Central
1UZs_9wFHP4NR_62LwGD6g,region:Southeast,categories:coffeeroasteries,categories:coffeeroasteries,price:price$$$$,categories:coffeeroasteries,categories:sandwiches,categories:coffeeroasteries,categories:coffeeroasteries,price:price$$$$,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,region:Northeast,categories:coffeeroasteries,price:price$$$$,categories:coffeeroasteries,categories:coffeeroasteries,region:Northeast,region:Northeast,region:Southeast
1WKZZ0FGM1Tz-UvPD03Ttg,categories:themedcafes,categories:themedcafes,price:price$$,categories:themedcafes,price:price$$,categories:themedcafes,categories:bars,region:Southwest,region:Northwest,categories:themedcafes,region:Northwest,region:Northwest,region:Southwest,region:Northwest,price:price$$,region:Northwest,categories:themedcafes,categories:themedcafes,region:Northwest,categories:themedcafes
1sU1q-fF-TGoFUUM6BVxIg,categories:icecream,categories:juicebars,categories:icecream,categories:themedcafes,categories:juicebars,categories:juicebars,categories:icecream,categories:icecream,categories:themedcafes,categories:themedcafes,categories:cafes,categories:icecream,categories:juicebars,categories:themedcafes,categories:icecream,region:Northwest,categories:icecream,categories:juicebars,region:Northwest,categories:cafes
1tQfj737uhgdKcQ-5akTdA,region:Southeast,region:Southeast,categories:sandwiches,region:Southeast,categories:icecream,categories:sandwiches,categories:icecream,categories:sandwiches,categories:sandwiches,categories:icecream,region:Southeast,price:price$,categories:sandwiches,categories:sandwiches,region:Southeast,region:Southeast,region:Southeast,categories:juicebars,price:price$,categories:sandwiches
1wWXchH7yRlFCxfC4dkQnA,region:Northwest,region:Southeast,price:price$$$$,categories:bakeries,region:Southwest,categories:bakeries,categories:bakeries,price:price$$$$,region:Southeast,price:price$$$$,region:Northwest,region:Southwest,categories:bakeries,region:Northwest,region:Northwest,categories:bakeries,price:price$$$$,categories:bakeries,price:price$$$$,region:Southeast
2BKqNWXvukhZdq6_8Gbfxg,categories:bakeries,categories:bakeries,categories:bakeries,categories:coffeeroasteries,categories:bakeries,region:Northeast,categories:bakeries,region:Central,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,region:Northeast,categories:bakeries,categories:bakeries,categories:bakeries,region:Central
