,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1Q2GYf4LGZiJ-r3kvKvGWg,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,price_3:1,coffeeroasteries:1,Southeast:1,bars:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1
1Sxapu-7u6YpmmhVPsLuKQ,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1,Northwest:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,price_3:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,price_3:1,bakeries:1,bars:1,bakeries:1
1UZs_9wFHP4NR_62LwGD6g,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1
1WKZZ0FGM1Tz-UvPD03Ttg,coffeeroasteries:1,bars:1,coffeeroasteries:1,Central:0,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,Central:0,bars:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,price_3:1,Southeast:1
1sU1q-fF-TGoFUUM6BVxIg,bakeries:1,Northwest:1,Northwest:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1,Northwest:1,bakeries:1,price_4:1,Central:0,Northwest:1,bakeries:1,Central:0,price_3:1,Northwest:1,price_3:1,price_3:1
1tQfj737uhgdKcQ-5akTdA,desserts:1,Central:1,Northwest:1,icecream:1,Central:1,icecream:1,icecream:1,icecream:1,Northwest:1,price_1:1,Southwest:0,desserts:1,icecream:1,Northwest:1,price_1:1,desserts:1,price_1:1,desserts:1,Central:1,icecream:1
1wWXchH7yRlFCxfC4dkQnA,Northwest:1,Northwest:1,bakeries:1,Northwest:1,Northwest:1,sandwiches:1,bakeries:1,bakeries:1,Northwest:1,Northwest:1,price_4:1,Northwest:1,Northwest:1,bakeries:1,Central:0,Northwest:1,Northwest:1,Northwest:1,Northwest:1,sandwiches:1
2BKqNWXvukhZdq6_8Gbfxg,bars:1,bakeries:1,price_3:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,price_3:1,bakeries:1,price_3:1,bakeries:1,bars:1,bakeries:1,bakeries:1,icecream:1,price_3:1,bakeries:1,bakeries:1,bakeries:1,bars:1
2F38Uc4UNNbFVdyUUnBjOA,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,Northwest:1,bakeries:1,price_3:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,Northwest:1,coffeeroasteries:1,bakeries:1
2HchhLgGj16aITZGVy0hqA,sandwiches:1,bars:1,bars:1,bars:1,Southeast:1,Southeast:1,bars:1,bars:1,bars:1,bars:1,sandwiches:1,bars:1,Southeast:1,sandwiches:1,bars:1,price_4:1,bars:1,price_4:1,bars:1,bars:1
